Quetiapina,Clonazepam,Fluoxetina,Lamotrigina,Olanzapina,Litio
152,369,454,112,255,686
375,379,720,1187,336,
654,,1286,1462,463,715
788,424,1349,1515,566,1069
1275,450,1483,1845,685,
1398,,1533,1864,692,1372
1455,465,1633,1902,912,
1587,563,1879,1910,1413,1836
1610,575,1888,2328,2643,2138
1637,600,1914,2494,2643,
1792,602,1950,2882,2878,3400
2382,611,2080,2962,3436,4582
2555,633,2136,2976,3595,6730
2905,635,2175,3343,4275,7640
2997,636,2397,3503,4395,
3142,658,2594,4217,4395,
3430,661,2624,4616,4668,
3433,667,2695,4629,,
3442,668,2868,4730,4889,
3688,693,3169,5506,5764,
3817,694,3416,6000,5777,
4012,707,3427,6359,5789,
4179,708,3887,6370,5915,
4666,712,4107,6931,5915,
4726,737,4137,8071,6036,
4784,744,4855,8088,6146,
4849,767,,8097,6277,
4885,775,,8629,6405,
5002,789,,9418,6816,
5363,821,,10384,6865,
5685,847,,10458,6892,
5713,877,,11551,6939,
6313,,,19992,7901,
6335,,,,7937,
6391,,,,8417,
6458,,,,8445,
6565,,,,8529,
6638,,,,8791,
6750,,,,9229,
7320,,,,,
7376,,,,10864,
7497,,,,11590,
7665,,,,11739,
7829,,,,11739,
7937,,,,11746,
8095,,,,11746,
8147,,,,12043,
8263,,,,12351,
8490,,,,12496,
8581,,,,12836,
8632,,,,13600,
8734,,,,15647,
8834,,,,16569,
9056,,,,16787,
9764,,,,16894,
9780,,,,17752,
9886,,,,22927,
10084,,,,22927,
10086,,,,,
10118,,,,,
10147,,,,,
10205,,,,,
10245,,,,,
10418,,,,,
10952,,,,,
11025,,,,,
11427,,,,,
11567,,,,,
11640,,,,,
11871,,,,,
11931,,,,,
12170,,,,,
12452,,,,,
12645,,,,,
12756,,,,,
13119,,,,,
13156,,,,,
13883,,,,,
13907,,,,,
14063,,,,,
14560,,,,,
14719,,,,,
14786,,,,,
15974,,,,,
16204,,,,,
16458,,,,,
16860,,,,,
19626,,,,,
19748,,,,,
20900,,,,,
21146,,,,,
24287,,,,,
29476,,,,,
